# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1977
#@/user_id	myrimedata-windows
de kai fa lian suo dian 	的開發連鎖店	c=1 d=0.852144 t=1721
de kai fa shi le kuai di fei 	的開發溼了快遞費	c=1 d=0.774916 t=1721
de le shi kuai di fei 	的了是快遞費	c=1 d=0.704688 t=1721
de wa ao a a a a a a a a da shi dai wa da da sa an a ding wei da da an wu wu wu wu wu wu wu wu wu wa wa de wu wu wu wu wu wu wu wu wu wa ao shi da da shan da wang da da da duo shu ren da wa a a a a a a a a shang wang da da wa ao da sa da duo shu ren wei da a a a dan wei ding ding ding ding dan wei wu wu wu wu wu wu wu wu wu wu wu wu 	的凹凹啊啊啊啊啊啊啊啊大時代挖大搭撒氨吖啶偉大答案嗚嗚嗚嗚嗚嗚嗚嗚嗚哇哇地嗚嗚嗚嗚嗚嗚嗚嗚嗚凹凹溼答答山大王大大大多數人大窪啊啊啊啊啊啊啊啊上網大大凹凹搭撒大多數人偉大啊啊啊單位頂頂頂頂單位嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚	c=1 d=0.29523 t=1721
de wa ran wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu wu da wu wei wu wu wu wu wu wu wu wu wu wa da da da a a a a a a a da da de da wu wei wu wu wu wu wu wu wu wu wu wa wa de ding ding ding ding a 	的窪然嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚大無畏嗚嗚嗚嗚嗚嗚嗚嗚嗚挖大大大啊啊啊啊啊啊啊大大的大無畏嗚嗚嗚嗚嗚嗚嗚嗚嗚哇哇地頂頂頂頂啊	c=1 d=0.451581 t=1721
deng 	等	c=4 d=1.63471 t=1721
deng dai 	等待	c=1 d=0.571209 t=1721
di 	低	c=1 d=0.408608 t=1721
di deng dong wu 	低等動物	c=0 d=0.141608 t=1721
di di da da 	滴滴答答	c=0 d=0.229493 t=1721
di fang 	地方	c=29 d=8.34466 t=1721
di fang da fu du 	地方大幅度	c=1 d=0.122456 t=1721
di fang fan de sa 	地方范德薩	c=2 d=0.214073 t=1721
di fang she ding 	地方設定	c=5 d=0.636548 t=1721
di fang shi da fu 	地方士大夫	c=4 d=1.43727 t=1721
di fang shi da fu shi da fu 	地方士大夫士大夫	c=1 d=0.946485 t=1721
di ji 	低級	c=0 d=0.167894 t=1721
di pan 	地盤	c=1 d=0.307279 t=1721
di qu 	滌去	c=0 d=0.0745796 t=1721
di qu an a ding da wa da duo shu wa ran an a ding di deng dong wu dang dang wang re ai 	滌去氨吖啶大窪大多數窪然氨吖啶低等動物當當網熱愛	c=1 d=0.425283 t=1721
di qu da da a a a a a a da da de wa da a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a da da wa ran da da de ding ding ding ding da da de di di da da a a a a a a a a a a a a a a a a a a a a a a a a a a a a a du wu wu wu wu wu wu wu wu wu wu da da de da da a a a a a a a a a a a a a a a a a a a a a a wa wu wu wu wu wu wu wu wu wu wu wu wu da da a a a a a da da an a a a a da da de wa da san da wa da 	滌去大大啊啊啊啊啊啊大大的挖大啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊大大窪然大大的頂頂頂頂大大的滴滴答答啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿堵物嗚嗚嗚嗚嗚嗚嗚嗚嗚大大的大大啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊阿佤嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚嗚大大啊啊啊啊阿達答案啊啊啊啊大大的挖大三大挖大	c=1 d=0.436049 t=1721
di qu wei qu de 	滌去未取得	c=1 d=0.313486 t=1721
di san fang 	第三方	c=2 d=0.879415 t=1721
di san fang kao lv 	第三方考慮	c=1 d=0.694196 t=1721
di san fang kuan shi da fu 	第三方款士大夫	c=1 d=0.847894 t=1721
di san ji du 	第三季度	c=0 d=0.083527 t=1721
di si 	第四	c=0 d=0.167894 t=1721
di yi jian shi 	第一件事	c=1 d=0.116484 t=1721
di zhi 	地址	c=6 d=0.782976 t=1721
dia 	嗲	c=0 d=0.083527 t=1721
dian 	點	c=3 d=1.97516 t=1721
dian dao shi fei 	顛倒是非	c=0 d=0.0173774 t=1721
dian dao shi fei shi da fu 	顛倒是非士大夫	c=1 d=0.174645 t=1721
dian fan guo 	電飯鍋	c=1 d=0.0955409 t=1721
dian fan guo di fang 	電飯鍋地方	c=1 d=0.697676 t=1721
dian feng shan 	電風扇	c=6 d=2.25251 t=1721
dian feng shan duan kou 	電風扇端口	c=1 d=0.557106 t=1721
dian feng shan kou dai li 	電風扇口袋裏	c=1 d=0.831104 t=1721
dian feng shan le 	電風扇了	c=1 d=0.644036 t=1721
dian hua 	電話	c=0 d=0.00658748 t=1721
dian hua ze 	電話則	c=1 d=0.066205 t=1721
dian nao 	電腦	c=2 d=1.76013 t=1721
dian shi ka 	電視卡	c=1 d=0.640193 t=1721
dian shi ka lu fang ji 	電視卡錄放機	c=1 d=0.606531 t=1721
dian shi li 	電視裏	c=0 d=0.0965605 t=1721
dian shi li kai fa 	電視裏開發	c=1 d=0.970446 t=1721
diao chu 	調出	c=1 d=0.151111 t=1721
diao jie fa 	調節閥	c=1 d=0.625002 t=1721
diao wa dai 	吊襪帶	c=0 d=0.114694 t=1721
ding ding ding ding 	頂頂頂頂	c=0 d=0.707363 t=1721
ding ding ding ding di deng dong wu wa wa a da wa wa de wa de dao da wa ai dao de ding ding ding ding da wa 	頂頂頂頂低等動物娃娃阿達哇哇地挖地道大窪挨刀的頂頂頂頂大窪	c=1 d=0.308819 t=1721
ding ding ding ding ding ding ding ding da da de wu wu wu wu wu wu si wa a di da si wa wa da wa wa da ding ding ding ding wa wei ruan ai ao wa da wu wei wu wu ran ban ben 	頂頂頂頂頂頂頂頂大大的嗚嗚嗚嗚嗚嗚絲襪阿迪達斯娃娃大窪挖大頂頂頂頂瓦微軟艾奧瓦大無畏無污染版本	c=1 d=0.315058 t=1721
ding kua ke 	頂夸克	c=1 d=0.965605 t=1721
ding yi 	定義	c=2 d=0.374794 t=1721
dong fang 	東方	c=0 d=0.0565525 t=1721
dong fang li kai 	東方離開	c=1 d=0.56836 t=1721
dong hua 	動畫	c=1 d=0.683861 t=1721
dong shen qian wang 	動身前往	c=0 d=0.0305746 t=1721
dou 	都	c=2 d=0.704688 t=1721
duan 	段	c=0 d=0.00934807 t=1721
duan 	端	c=1 d=0.0948935 t=1721
duan kou 	端口	c=10 d=3.87997 t=1721
duan kou dai fu kuan 	端口代付款	c=1 d=0.522046 t=1721
duan kou shen kao jia 	端口參考價	c=1 d=0.763379 t=1721
dui 	對	c=1 d=0.0471227 t=1721
dui le 	對了	c=1 d=0.0611149 t=1721
dui wo shuo 	對我說	c=0 d=0.0375311 t=1721
duo 	多	c=2 d=0.0607892 t=1721
duo da dian shi 	多大點事	c=1 d=0.431092 t=1721
duo fu duo shou 	多福多壽	c=4 d=1.09004 t=1721
duo ge 	多個	c=1 d=0.0797763 t=1721
duo ge cheng xu 	多個程序	c=1 d=0.0515605 t=1721
duo shao 	多少	c=1 d=0.0672055 t=1721
en 	恩	c=3 d=1.4735 t=1721
en en 	嗯嗯	c=1 d=0.0753961 t=1721
er 	二	c=1 d=0.0593087 t=1721
er kai 	而開	c=1 d=0.0590129 t=1721
er zi 	兒子	c=1 d=0.218712 t=1721
fa 	發	c=7 d=4.63584 t=1721
fa biao 	發表	c=1 d=0.0405589 t=1721
fa bu 	發佈	c=2 d=0.80197 t=1721
fa di fang 	發地方	c=2 d=1.08031 t=1721
fa tie 	發帖	c=1 d=0.0401553 t=1721
fa xian 	發現	c=2 d=0.0954455 t=1721
fan de sa 	范德薩	c=0 d=0.0901474 t=1721
fan er 	反而	c=0 d=0.0818731 t=1721
fan fan fu fu 	反反覆覆	c=0 d=0.0755783 t=1721
fan fan fu fu fan fan fu fu fan fan fu fu fang fa fa di fang 	反反覆覆反反覆覆反反覆覆方法發地方	c=1 d=0.759572 t=1721
fan she 	反射	c=4 d=0.124153 t=1721
fan ye 	翻頁	c=1 d=0.19398 t=1721
fang 	放	c=1 d=0.0376283 t=1721
fang an 	方案	c=0 d=0.0110251 t=1721
fang an xuan xiang 	方案選項	c=1 d=0.110803 t=1721
fang cuo 	放錯	c=1 d=0.421052 t=1721
fang fa 	方法	c=2 d=0.50443 t=1721
fang kai lai 	放開來	c=0 d=0.0644036 t=1721
fang kai lai kong jian 	放開來空間	c=1 d=0.647265 t=1721
fang kong dong 	防空洞	c=1 d=0.208045 t=1721
fang le 	放了	c=1 d=0.427415 t=1721
fang na 	放那	c=1 d=0.247833 t=1721
fang shi 	方式	c=0 d=0.0163654 t=1721
fang wen 	訪問	c=1 d=0.594521 t=1721
fei chang 	非常	c=2 d=0.956356 t=1721
fei de lie ke 	菲德烈克	c=0 d=0.0733447 t=1721
fen 	分	c=1 d=0.0776922 t=1721
fen 	粉	c=0 d=0.0895834 t=1721
fen dian 	分店	c=2 d=0.0653513 t=1721
fen qi 	分期	c=1 d=0.0645703 t=1721
feng ge 	風格	c=1 d=0.000399619 t=1721
feng ji kou 	風紀扣	c=0 d=0.0218712 t=1721
feng kuang 	瘋狂	c=0 d=0.0615697 t=1721
feng kuang shi le dai fu kuan ji 	瘋狂溼了代付款機	c=1 d=0.618783 t=1721
fu dao ke 	輔導課	c=1 d=0.726149 t=1721
fu hao 	符號	c=1 d=0.790571 t=1721
fu wa 	福娃	c=1 d=0.690734 t=1721
fu wu 	服務	c=1 d=0.0385061 t=1721
fu zhi 	複製	c=2 d=0.127215 t=1721
ga ran 	嘎然	c=0 d=0.0319819 t=1721
ga ran rong rong dang dang ding ding ding ding ding ding ding ding wu wu ran da sa ai ao wa sa wa ao ban ben 	嘎然溶溶蕩蕩頂頂頂頂頂頂頂頂無污染搭撒艾奧瓦撒凹凹版本	c=1 d=0.321422 t=1721
gai 	改	c=2 d=0.551851 t=1721
gai ba 	改吧	c=1 d=0.124307 t=1721
gai ban 	改版	c=1 d=0.0347353 t=1721
